UniqID,Island,Country.Territory,Region,Subregion,Lon,Lat,SiteName,Material,Type,Provenience,LabNo,Age,Error,d13C,Reference,calCurves,MapNo,CalibLon,CalibLat,DeltaR,DeltaErr,CalibReference,CalibLocality
586,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Santa Barbara,charcoal,charcoal/charred material,unit 118/117 level 9-10 (40-50 cm bs)-small sample-diluted,PITT-1197,395,115,�,Haviser 1987 ,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
587,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Santa Barbara,charcoal,charcoal/charred material,unit 120/142 level 7 (30-35 cm bs),PITT-1198,875,35,�,Haviser 1987,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
588,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,charcoal,charcoal/charred material,WP4-0-25 cm,IVIC-236,70,60,�,Cruxent 1965:243,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
589,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,human bone,human bone/teeth,�,DIC-3137,1500,200,�,Ayubi et al. 1990,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
590,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,human bone,human bone/teeth,Skeleton S-1 (primary urn burial),GrN-12014,1500,200,�,Tacoma 1990,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
591,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,human bone,human bone/teeth,Skeleton S-3 (secondary urn burial),GrN-12979,660,20,-10.58,Tacoma 1990,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
592,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,human bone,human bone/teeth,S-2-0-25 cm,DIC-3138,660,20,�,Ayubi et al. 1990,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
593,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,human bone collagen,human bone/teeth,Savaan 1-0-25 cm,GrN-12914,1500,200,-10.58,Haviser 1989:16,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
594,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savaan,molar,human bone/teeth,Savaan I,Ua-1498,1040,100,-11.27,Tacoma 1990,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
596,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Savonet,charcoal,charcoal/charred material,Unit A level 1-small sample-diluted,PITT-1183,1875,430,�,Haviser 2001:118,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
605,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Seru Boca,charcoal,charcoal/charred material,07 S77-01 F01,GrN-32016,450,30,�,Hoogland and Hofman 2011:636,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
606,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Seru Boca,charcoal,charcoal/charred material,08 S77-01 F01,GrN-32017,370,25,�,Hoogland and Hofman 2011:636,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
608,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Spaanse Water,charcoal,charcoal/charred material,378-unit 1,GrN-31926,605,15,�,Hoogland and Hofman 2011:636,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
609,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Spaanse Water,charcoal,charcoal/charred material,296-Unit 8,GrN-31920,280,15,�,Hoogland and Hofman 2011:636,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
624,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Spanish Water,organic sediment,sediment,"SW09-1, 95 cm ",AA-92659,1790,40,-25.2,Dunning et al. 2018a ,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
625,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Spanish Water,preserved wood,wood,"SW09-1, 157-158 cm ",AA-90821,3970,45,-25,Dunning et al. 2018a ,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
627,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Spanish Water,preserved wood,wood,"SW09-1, 223 cm ",AA-84144,4850,40,-25.4,Dunning et al. 2018a ,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
638,Cura�ao,Cura�ao,northern South America,,-68.97130561,12.19382109,Zuurzak,charcoal,charcoal/charred material,level 15 b.s. (140�150 cm) ,PITT-1188,475,50,� ,Haviser and Simmons-Brito 1995 ,intcal20,2101,-69.9,12.42,0,0,DiNapoli et al 2020,"San Nicolas Bay, 8Miles SW"
639,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,CB-3,charred material,charcoal/charred material,Test unit 1-NW quad-91 cmbd,Beta-366738,890,30,�,Shearn 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
640,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,CB-1,bulk sherd organics,pottery organics,Test pit 1-0-10 cmbs,Beta-366737,840,30,�,Shearn 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
641,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,cave-Dominica,Guaiacum sp.-terminus date,wood,Museum collections,OxA-17917,556,25,-23.9,Ostapkowicz et al. 2012,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
642,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,DEL-2,charred material,charcoal/charred material,Test unit 1-NEquad-78 cmbd,Beta-366739,1450,30,�,Shearn 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
643,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,DEL-2,charred material,charcoal/charred material,Test unit 1-NEquad-96 cmbd,Beta-366740,2380,30,�,Shearn 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
644,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,DEL-3,charred material,charcoal/charred material,Test pit 1-49 cmbs,Beta-366741,1900,30,�,Shearn 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
645,Dominica,Commonwealth of Dominica,Lesser Antilles,southern Lesser Antilles,-61.35691759,15.43644049,HS-2,organic residue on sherd,organic material,Test unit 1-NE quad-110-120 cmbd, Beta-367733,870,30,�,Shearn 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
647,Eleuthera,Bahamas,Bahamian Archipelago,,-77.1565,26.3975298,Broad Creek Cay,charred material,charcoal/charred material,�,Beta-302306,820,40,�,Peter Sinelli-Personal Communication,intcal20,293+294,-78,26,0,0,"Broecker, W :1961",Bahama Islands
648,Eleuthera,Bahamas,Bahamian Archipelago,,-77.1565,26.3975298,cave,Guaiacum sp.,wood,�,OxA-21155,804,25,�,Ostapkowicz 2015,intcal20,293+294,-78,26,0,0,"Broecker, W :1961",Bahama Islands
649,Eleuthera,Bahamas,Bahamian Archipelago,,-77.1565,26.3975298,Broad Creek Cay,charred material,charcoal/charred material,�,Beta-302307,490,40,�,Peter Sinelli-Personal Communication,intcal20,293+294,-78,26,0,0,"Broecker, W :1961",Bahama Islands
655,Eleuthera,Bahamas,Bahamian Archipelago,,-77.1565,26.3975298,Greenstone,charred material,charcoal/charred material,�,Beta-334794,1010,30,�,Peter Sinelli-Personal Communication,intcal20,293+294,-78,26,0,0,"Broecker, W :1961",Bahama Islands
656,Eleuthera,Bahamas,Bahamian Archipelago,,-77.1565,26.3975298,Greenstone,charred material,charcoal/charred material,�,Beta-356054,730,30,�,Peter Sinelli-Personal Communication,intcal20,293+294,-78,26,0,0,"Broecker, W :1961",Bahama Islands
657,Eleuthera,Bahamas,Bahamian Archipelago,,-77.1565,26.3975298,Preacher's Cave,human bone enamel,human bone/teeth,cave burial-sample PC537,ORAU-X-2623-21,1082,29,-8.3,Schroeder et al. 2018,intcal20,293+294,-78,26,0,0,"Broecker, W :1961",Bahama Islands
658,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal,charcoal/charred material,100 N 110 E FS#178 70-80cmbd-Hearth Feature 25,Beta-98698,1230,60,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
659,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal,charcoal/charred material,110N 102 E FS#41 70cmbd-Post Layer Zone 2,Beta-98697,1010,50,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
660,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal,charcoal/charred material,148N 104E FS #353 70-80cmbd-Zone 2 Level 2,Beta-114924,1120,50,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
661,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal,charcoal/charred material,96N 100E FS #198 55-74cmbd-Hearth Feature 28,Beta-98699,900,50,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
662,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal: Wild Lime,charcoal/charred material,110N 110E-FS #81-92-93.5 cmbd-Ash lens Area 10,Beta-80911,1280,60,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
663,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal: palm,charcoal/charred material,124N 100E FS #35-47-62cmbd-Hearth Feature 5,Beta-80910,1160,60,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
666,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,wood-cf.Bullwood,wood,Mangroves Paddle-peat Layer,Beta-96700,940,60,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
667,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Coralie Site,charcoal,charcoal/charred material,ca. 120N 110E FS #353 70-80cmbd-Zone 2,Beta-66151,1120,120,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
669,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Gibbs Cay,charcoal,charcoal/charred material,Unit A-Level 4,Beta-253527,780,40,�,Sinelli 2010,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
670,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,GT-2,charcoal,charcoal/charred material,�,Beta-42983,830,80,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
671,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,GT-2,charcoal,charcoal/charred material,�,Beta-42985,820,50,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
672,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,GT-2,charcoal,charcoal/charred material,�,Beta-61150,910,60,�,Sinelli 2010,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
673,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,GT-2,charcoal,charcoal/charred material,�,Beta-66150,910,60,�,Carlson 1999,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
676,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,GT-3,charcoal,charcoal/charred material,�,Beta-61151,1130,120,�,Sinelli 2010,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
680,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Spud Cay,charcoal,charcoal/charred material,Unit A-Level 4,Beta 242670,690,40,�,Sinelli 2010,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
681,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Spud Cay,charcoal,charcoal/charred material,Unit E-Level 5,Beta-242671,610,40,�,Sinelli 2010,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
682,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,Spud Cay,charcoal,charcoal/charred material,Unit E-Level 6,Beta-242672,910,40,�,Sinelli 2010,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
683,Grand Turk,Turks and Caicos,Bahamian Archipelago,,-71.14015585,21.47129581,�,Guaiacum sp.,wood,museum collections,OxA-19116,860,24,-24.2,Ostapkowicz 2015,intcal20,2117,-72.2285,19.7609,0,0,DiNapoli et al 2020,Haiti (Cap- Haitien)
684,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Beausejour (GREN�G-34),charcoal,charcoal/charred material,Burial 1-95 cmbs,PSUAMS-1287,1500,25,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
685,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Beausejour (GREN�G-34),charcoal,charcoal/charred material,STP1-SS4-80 cmbs,PSUAMS-1317,1685,20,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
688,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Duquense (GREN�M-3),charcoal,charcoal/charred material,5N/5W-upper profile (20-40 cmbs),Beta-85938,850,40,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
689,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Duquense (GREN�M-3),charcoal,charcoal/charred material,5N/5W-lower profile (40-60 cmbs),Beta-98365,1080,50,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
690,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,La Filette (GREN-A�11),charcoal,charcoal/charred material,STP1-SS4-~2mbs (top of concentration),PSUAMS-1565,1215,20,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
695,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,High Cliff Point (GREN-P-7),charcoal,charcoal/charred material,STP12-SS3-22-30 cmbs,PSUAMS-3945,380,25,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
700,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Marlmont (GREN-D�24), charcoal,charcoal/charred material,Waypt. 137-SS1-43 cmbs,PSUAMS-3944,240,20,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
705,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Montreuil (GREN-P�2) charcoal,charcoal,charcoal/charred material,Unit A-5d-SS8-56cmbs,PSUAMS-3946,1215,20,,,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
709,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Pearls (GREN-A-1),charcoal,charcoal/charred material,W 195-103-113 cmbs,PSUAMS-1322,835,25,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
710,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Pearls (GREN-A-1),charcoal,charcoal/charred material,�,GX-14202,1600,340,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
711,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,La Sagesse (GREN�D-1),charcoal,charcoal/charred material,Unit 28S-4E (bag 41)-60-70 cmbs [D1-28S-7-FW1],PSUAMS-1316,155,20,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
712,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Salt Pond 2 (GREN�G-21),charcoal,charcoal/charred material,STP7-SS3-14-25cmbs,PSUAMS-1320,1180,25,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
714,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Sauteurs Bay-1 (GREN-P-5),charcoal,charcoal/charred material,Locus 1-111N/117.5W-posthole-80-90cmbs,Beta-86832,790,60,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
715,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Sauteurs Bay-1 (GREN-P-5),charcoal,charcoal/charred material,Locus 1-127.5N/137.5W-burial layer,Beta-98368,980,60,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
716,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Sauteurs Bay-1 (GREN-P-5),charcoal,charcoal/charred material,Locus 1-120N/127.5W-burial layer,Beta-86831,1050,90,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
717,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Sauteurs Bay-2 (GREN-P-5),charcoal,charcoal/charred material,Locus 2-18.5S/7.5W,Beta-98366,340,50,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
718,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Sauteurs Bay-2 (GREN-P-5),charcoal,charcoal/charred material,Locus 2-45N�114.5W-base of hearth,Beta-98367,510,60,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
719,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Sauteurs Bay-3 (GREN-P-5),charcoal,charcoal/charred material,Locus 3-SC-D (locus SW),Beta-85941,1270,50,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
721,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Savanne Suazey-1 (GREN-P-3),charcoal,charcoal/charred material,"southern locus (#1)-""burial area"" 15-31 cmbs",Beta-86827,900,60,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
722,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Savanne Suazey-1 (GREN-P-3),charcoal,charcoal/charred material,southern locus (#1)-8.5N/21W-10-20 cmbs,Beta-86833,810,50,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
723,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Savanne Suazey-1 (GREN-P-3),charcoal,charcoal/charred material,southern locus (#1)-5N/17W-posthole-15-31cmbs,Beta-85935,1110,40,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
724,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,Savanne Suazey-3 (GREN-P-3),charcoal,charcoal/charred material,northeast locus (#3)-probably west of hotel,Beta-85934,120,40,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
726,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,St. John's River (GREN-G-8),Canis familiaris,faunal material,G8-P5-Level III-Unit 5-26-40 cmbs,PSUAMS-1484,230,20,�,Hanna 2019,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
728,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,La Tante (GREN-D�4),charcoal,charcoal/charred material,118.5S/36W-85�110 cmbs (pieces of same sample),Beta-86829,550,60,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
729,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,La Tante (GREN-D�4),charcoal,charcoal/charred material,118.5S/36W-85�110 cmbs (pieces of same sample),Beta-86828,650,40,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
730,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,La Tante (GREN-D�4),charcoal,charcoal/charred material,118.5S/36W-85�110 cmbs,Beta-85939,770,60,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
731,Grenada,Grenada,Lesser Antilles,southern Lesser Antilles,-61.67903899,12.11772663,La Tante (GREN-D�4),charcoal,charcoal/charred material,118.5S/36W-85�110 cmbs,Beta-86830,770,50,�,Cody 1998,intcal20,2118,-61.6765,12.1262,0,0,DiNapoli et al 2020,-
735,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Cadet 3,charcoal,charcoal/charred material,D E3-F1,Erl-10159,1056,36,-26.1,Stouvenot et al. 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
736,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Cadet 3,charcoal,charcoal/charred material,G E3-C6,Erl-10156,3052,41,-25.5,Stouvenot et al. 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
737,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63016,870,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
738,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63019,875,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
739,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63017,885,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
740,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63022,890,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
741,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63015,900,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
742,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63018,915,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
743,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63020,930,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
744,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63014,960,40,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
745,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63024,960,30,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
746,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,CHU Belle-Plaine,charcoal,charcoal/charred material,�,Poz-63021,1030,35,�,Van den Bel 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
748,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,F�t� 2,�,unknown,�,Beta-407285,3110,30,�,Stouvenot 2017,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
750,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Grotte Morne Rita,�,unknown,�,Ly-11571,4295,30,�,Fou�r� et al. 2015,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
751,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Grotte Papin,charcoal,charcoal/charred material,test pit near entrance,Ly-8466,770,30,�,Grouard et al. 2014,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
752,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Morel,charcoal,charcoal/charred material,base Morel IV-interpreted as Terminal Saladoid,Y-1246,1100,80,�,Bullen and Bullen 1972:153; Rouse et al. 1978:462,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
753,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Morel,wood,wood,bottom of post (center),Ly-9162,1815,30,�,Stouvenot et al. 2013:480,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
754,Guadeloupe,Guadeloupe,Lesser Antilles,northern Lesser Antilles,-61.41753144,16.32871024,Morel,wood,wood,bottom of post (peripherial),Ly-9161,1580,30,�,Stouvenot et al. 2013:480 ,intcal20,2119,-61.5589,16.2618,0,0,DiNapoli et al 2020,-
