UniqID,Island,Country.Territory,Region,Subregion,Lon,Lat,SiteName,Material,Type,Provenience,LabNo,Age,Error,d13C,Reference,calCurves,MapNo,CalibLon,CalibLat,DeltaR,DeltaErr,CalibReference,CalibLocality
16,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Fountain Cave (AL01-FC),charcoal,charcoal/charred material,TP 1-100 cmbs,Beta-15824,1530,140,�,Watters 1991; Crock and Petersen 2001; Douglas 1991,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
19,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,AAHS pit B3-45.7 cmbs,Beta-21858,1410,60,�,Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
20,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,AAHS pit D4-25.4 cmbs,Beta-21861,1080,90,�,Douglas 1991 cited in Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
21,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Strat. VI-90-100 cmbs,Beta-18739,1000,110,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
22,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Stratum II-30-40 cmbs,Beta-18738,1120,70,�,Watters and Petersen 1991; Crock and Petersen 2001 ,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
23,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Stratum II-40-50 cmbs,Beta-19955,1150,60,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
24,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Stratum IV-60-70 cmbs,PITT-0545,1135,40,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
25,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Stratum VI-80-90 cmbs,Beta-19956,1290,60,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
26,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Stratum VI-90-100 cmbs,Beta-19957,1550,70,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
27,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charcoal,charcoal/charred material,Stratum VII-120�130 cmbs,Beta-18740,1430,70,�,Watters and Petersen 1991; Crock and Petersen 2001,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
33,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charred material,charcoal/charred material,N181 E750-N182 E750-130 cmbs-level 51A,Beta-277834,840,50,-23.7,John Crock personal communication,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
34,Anguilla,Anguilla,Lesser Antilles,northern Lesser Antilles,-63.05741433,18.22452258,Rendezvous Bay (AL02-RZ),charred material,charcoal/charred material,N181 E750-N182 E750-130 cmbs-level 56B,Beta-277836,1140,50,-24.9,John Crock personal communication,intcal20,2098,-63.5167,18.5,0,0,DiNapoli et al 2020,"Sombrero (off IsleSaint Barthelemy), Ane"
